academic_year,university_code,university_name,avg_fee_payers_eur,avg_fee_all_students_eur,source_id
2017-2018,00101,"Torino",1502.08,1224.67,mur_university_contribution
2017-2018,00102,"Torino Politecnico",1147.08,884.24,mur_university_contribution
2017-2018,00201,"Piemonte Orientale",1401.60,1147.79,mur_university_contribution
2017-2018,00401,"Bra - Scienze Gastronomiche",10311.24,9283.23,mur_university_contribution
2017-2018,00701,"Aosta",1667.51,1387.92,mur_university_contribution
2017-2018,01001,"Genova",1580.28,1285.73,mur_university_contribution
2017-2018,01201,"Castellanza LIUC",6731.06,6481.28,mur_university_contribution
2017-2018,01202,"Insubria",2104.00,1758.36,mur_university_contribution
2017-2018,01301,"Novedrate e-Campus",3758.59,3306.10,mur_university_contribution
2017-2018,01501,"Milano",1752.23,1426.12,mur_university_contribution
2017-2018,01502,"Milano Politecnico",2241.13,1835.90,mur_university_contribution
2017-2018,01503,"Milano Bocconi",10253.15,9248.11,mur_university_contribution
2017-2018,01504,"Milano Cattolica",5773.75,5268.29,mur_university_contribution
2017-2018,01505,"Milano IULM",5901.41,5466.81,mur_university_contribution
2017-2018,01508,"Milano San Raffaele",8329.78,7934.64,mur_university_contribution
2017-2018,01509,"Milano Bicocca",1470.19,1191.94,mur_university_contribution
2017-2018,01510,"Rozzano (MI) Humanitas University",8288.87,8265.71,mur_university_contribution
2017-2018,01601,"Bergamo",1291.14,1014.70,mur_university_contribution
2017-2018,01701,"Brescia",1464.06,1182.15,mur_university_contribution
2017-2018,01801,"Pavia",2085.05,1303.40,mur_university_contribution
2017-2018,02101,"Bolzano",1170.22,766.16,mur_university_contribution
2017-2018,02201,"Trento",1395.24,1158.20,mur_university_contribution
2017-2018,02301,"Verona",1426.32,1195.19,mur_university_contribution
2017-2018,02701,"Venezia Cà Foscari",1553.90,1293.19,mur_university_contribution
2017-2018,02702,"Venezia Iuav",2226.17,1788.38,mur_university_contribution
2017-2018,02801,"Padova",1574.08,1318.43,mur_university_contribution
2017-2018,03001,"Udine",1521.16,1234.07,mur_university_contribution
2017-2018,03201,"Trieste",1420.45,1118.52,mur_university_contribution
2017-2018,03401,"Parma",1269.64,1017.04,mur_university_contribution
2017-2018,03601,"Modena e Reggio Emilia",1551.61,1182.36,mur_university_contribution
2017-2018,03701,"Bologna",1512.56,1128.61,mur_university_contribution
