DATA;COD_Ateneo;NOME_ATENEO;CODICE_STRUTTURA;DESCRIZIONE_STRUTTURA;NUMERO_STRUTTURE;POSTI_DISPONIBILI
1/11/18;00101;Torino - Università degli studi;01 ;Mense;0;0
1/11/18;00101;Torino - Università degli studi;02 ;Residenze direttamente gestite dall'istituto;0;0
1/11/18;00101;Torino - Università degli studi;02a;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti dell'ateneo;;0
1/11/18;00101;Torino - Università degli studi;02b;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti in mobilità;;0
1/11/18;00101;Torino - Università degli studi;03 ;Residenze in strutture convenzionate o affidate in gestione a terzi;0;0
1/11/18;00101;Torino - Università degli studi;03a;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti assegnati a studenti dell'ateneo (in convenzione o a terzi);;0
1/11/18;00101;Torino - Università degli studi;03b;Residenze in strutture convenzionate o affidate in gestione a terzi- di cui posti assegnati a studenti in mobilità (in convenzione o a terzi);;0
1/11/18;00102;Torino - Politecnico;01 ;Mense;0;0
1/11/18;00102;Torino - Politecnico;02 ;Residenze direttamente gestite dall'istituto;0;0
1/11/18;00102;Torino - Politecnico;02a;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti dell'ateneo;;0
1/11/18;00102;Torino - Politecnico;02b;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti in mobilità;;0
1/11/18;00102;Torino - Politecnico;03 ;Residenze in strutture convenzionate o affidate in gestione a terzi;0;0
1/11/18;00102;Torino - Politecnico;03a;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti assegnati a studenti dell'ateneo (in convenzione o a terzi);;0
1/11/18;00102;Torino - Politecnico;03b;Residenze in strutture convenzionate o affidate in gestione a terzi- di cui posti assegnati a studenti in mobilità (in convenzione o a terzi);;0
1/11/18;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";01 ;Mense;0;0
1/11/18;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";02 ;Residenze direttamente gestite dall'istituto;2;58
1/11/18;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";02a;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti dell'ateneo;;49
1/11/18;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";02b;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti in mobilità;;9
1/11/18;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";03 ;Residenze in strutture convenzionate o affidate in gestione a terzi;0;0
1/11/18;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";03a;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti assegnati a studenti dell'ateneo (in convenzione o a terzi);;0
1/11/18;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";03b;Residenze in strutture convenzionate o affidate in gestione a terzi- di cui posti assegnati a studenti in mobilità (in convenzione o a terzi);;0
1/11/18;00401;Bra (CN) - Università di Scienze Gastronomiche;01 ;Mense;1;80
1/11/18;00401;Bra (CN) - Università di Scienze Gastronomiche;02 ;Residenze direttamente gestite dall'istituto;7;29
1/11/18;00401;Bra (CN) - Università di Scienze Gastronomiche;02a;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti dell'ateneo;;29
1/11/18;00401;Bra (CN) - Università di Scienze Gastronomiche;02b;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti in mobilità;;0
1/11/18;00401;Bra (CN) - Università di Scienze Gastronomiche;03 ;Residenze in strutture convenzionate o affidate in gestione a terzi;0;0
1/11/18;00401;Bra (CN) - Università di Scienze Gastronomiche;03a;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti assegnati a studenti dell'ateneo (in convenzione o a terzi);;0
1/11/18;00401;Bra (CN) - Università di Scienze Gastronomiche;03b;Residenze in strutture convenzionate o affidate in gestione a terzi- di cui posti assegnati a studenti in mobilità (in convenzione o a terzi);;0
1/11/18;00701;Aosta - Università degli studi;01 ;Mense;0;0
1/11/18;00701;Aosta - Università degli studi;02 ;Residenze direttamente gestite dall'istituto;1;33
1/11/18;00701;Aosta - Università degli studi;02a;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti dell'ateneo;;15
1/11/18;00701;Aosta - Università degli studi;02b;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti in mobilità;;7
1/11/18;00701;Aosta - Università degli studi;03 ;Residenze in strutture convenzionate o affidate in gestione a terzi;0;0
1/11/18;00701;Aosta - Università degli studi;03a;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti assegnati a studenti dell'ateneo (in convenzione o a terzi);;0
1/11/18;00701;Aosta - Università degli studi;03b;Residenze in strutture convenzionate o affidate in gestione a terzi- di cui posti assegnati a studenti in mobilità (in convenzione o a terzi);;0
1/11/18;01001;Genova - Università degli studi;01 ;Mense;0;0
1/11/18;01001;Genova - Università degli studi;02 ;Residenze direttamente gestite dall'istituto;0;0
1/11/18;01001;Genova - Università degli studi;02a;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti dell'ateneo;;0
1/11/18;01001;Genova - Università degli studi;02b;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti in mobilità;;0
1/11/18;01001;Genova - Università degli studi;03 ;Residenze in strutture convenzionate o affidate in gestione a terzi;0;0
1/11/18;01001;Genova - Università degli studi;03a;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti assegnati a studenti dell'ateneo (in convenzione o a terzi);;0
1/11/18;01001;Genova - Università degli studi;03b;Residenze in strutture convenzionate o affidate in gestione a terzi- di cui posti assegnati a studenti in mobilità (in convenzione o a terzi);;0
1/11/18;01201;"Castellanza - Università ""Carlo Cattaneo""";01 ;Mense;0;0
1/11/18;01201;"Castellanza - Università ""Carlo Cattaneo""";02 ;Residenze direttamente gestite dall'istituto;0;0
1/11/18;01201;"Castellanza - Università ""Carlo Cattaneo""";02a;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti dell'ateneo;;0
1/11/18;01201;"Castellanza - Università ""Carlo Cattaneo""";02b;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti in mobilità;;0
1/11/18;01201;"Castellanza - Università ""Carlo Cattaneo""";03 ;Residenze in strutture convenzionate o affidate in gestione a terzi;0;0
